Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XLOC_000001,70.73245578391808,0.3346672477073785,0.08981279671964855,3.7262757639320077,1.943297936270984e-4,5.645181835003178e-4
XLOC_000002,15.834965935615338,0.43760942438605943,0.10143680326838622,4.314108984962903,1.6024788417450556e-5,5.4836228042788105e-5
XLOC_000003,1.3241866134407678,-0.05091372497856413,0.35958910733637717,-0.1415886186200211,0.8874049573823725,0.9403176969870966
XLOC_000004,0.0488988219221536,-0.47080938913678655,2.48141470734386,-0.1897342623719464,0.8495173709638377,0.9239951476124347
XLOC_000005,0.01488783345339076,-0.5410956279329927,2.921888482153639,-0.18518695399838356,0.8530824013165221,0.9239951476124347
XLOC_000006,0.47295961143876236,-0.089814922838567,0.5158826961767069,-0.17409950654325188,0.861787260999359,0.9294317316987686
XLOC_000007,0.18583977187856088,-0.2631118893615579,0.9239776059298053,-0.2847600284606319,0.7758279975245143,0.8771903103212672
XLOC_000008,13.923382634497868,-0.7710775777245418,0.13546767254121453,-5.691967413775047,1.2558382532372058e-8,6.31586420670633e-8
XLOC_000009,22.4724814185056,0.08724100657715869,0.11688638925885171,0.7463743822555627,0.45544128995004085,0.5922653145750689
XLOC_000010,0.7023812446358301,1.8789613544021044,0.5482934096470827,3.4269267537093433,6.104537085381298e-4,0.0016448639816468108
XLOC_000011,0.8703479993762171,0.7062860048964864,0.4479295419579217,1.5767792448099676,0.11484632894818673,0.18824818565824183
XLOC_000012,45.316558434051444,0.2304292553040952,0.09673973858137665,2.3819503616940216,0.01722121861536299,0.035193438901242505
XLOC_000013,73.85747541565532,-0.1640224477537647,0.07042130066264977,-2.329159589646139,0.019850612814417735,0.039918858695612666
XLOC_000014,61.81741919663073,0.8956613978335525,0.10345112893805251,8.657821398642085,4.808661848529711e-18,5.727994718304056e-17
XLOC_000015,4.843138331782829,0.2691266444456605,0.2157190944548389,1.2475791497539526,0.21218521800759113,0.3173214041806485
XLOC_000016,0.027950843427465587,-0.1785756735545765,2.921888482153639,-0.06111652605678967,0.9512664078634778,0.9717691386827224
XLOC_000017,77.29072572455922,1.0882490560162317,0.13075930226208646,8.32253642524803,8.610065040899874e-17,9.206240634490145e-16
XLOC_000018,304.0098010499282,0.15845844701128378,0.06700604628897018,2.364838037569268,0.018037957428053607,0.036639448774135
XLOC_000019,205.2818188689264,-0.8248406006350777,0.11608325791237502,-7.1055948589735936,1.1980538393088391e-12,8.812941854791888e-12
XLOC_000020,0.2313602397930788,0.4880723419182133,0.9402855312173419,0.519068225251036,0.6037131654051038,0.7336981644421755
XLOC_000021,0.5003887224265822,-0.5939984887404158,0.6030916597154157,-0.9849224063564556,0.32466218641991473,0.45144552159135265
XLOC_000022,0.6597238575038212,0.019514444457138347,0.5113243674759538,0.03816451101962407,0.9695565163735533,0.9820051432504483
XLOC_000023,10.646394015400695,0.2840647273600635,0.17510958323726283,1.622211201172086,0.10475813414814926,0.17379573972471474
XLOC_000024,4.618948834297933,0.0060187690317466324,0.239556063454539,0.025124678311007665,0.979955515947648,0.9874053162019898
XLOC_000025,1537.3541595093668,-0.10570930362906296,0.03723660448503223,-2.838854538188472,0.0045275791185180134,0.010462635715751808
XLOC_000026,13.000930545053391,0.07932559072886732,0.1251224117201068,0.6339838693831693,0.5260913492342645,0.6612706518510357
XLOC_000027,2.996828734501097,1.1358307536276122,0.3475600989886338,3.2680125162030094,0.0010830557592137514,0.002797346420563417
XLOC_000028,253.48862882375337,-0.16611984054827736,0.05209444629640232,-3.1888205434242174,0.0014285453134057892,0.0036123527029531506
XLOC_000029,6.01385566490311,0.7963516072650527,0.18881798200934635,4.217562325317267,2.4695757302709335e-5,8.23350052469965e-5
XLOC_000030,24.639389059953405,0.5088002170851199,0.12595370058193728,4.039581328173265,5.354669865703416e-5,1.6981544396982678e-4
XLOC_000031,0.16411211426505418,-0.33401951064967816,1.00325549605003,-0.3329356399887805,0.7391828658481354,0.8483582284316991
XLOC_000032,174.7686093788237,0.07787246715440106,0.049562176725536214,1.5712075679331163,0.11613444277738504,0.19002760877686053
XLOC_000033,133.93855918677974,-0.3998616641154804,0.10430503442180944,-3.833579714843296,1.262918487745437e-4,3.7829859141986984e-4
XLOC_000034,3.7923337924084457,-0.1658434495605397,0.2167005789501466,-0.765311520458342,0.4440860655649582,0.5804280708078616
XLOC_000035,92.94797275564689,0.47903774274010746,0.11933558942199705,4.014206868716457,5.964601799053576e-5,1.8786455561698692e-4
XLOC_000036,1.1978511459753187,0.8712287859511512,0.4814216264288255,1.8097001425006727,0.0703423004253803,0.12297502052669546
XLOC_000037,1.5285774136613264,0.530121997638204,0.42728396047576406,1.2406784402764237,0.2147245618914958,0.32056649290855194
XLOC_000038,1.3821857625869094,0.8217086176871501,0.3445751268975651,2.3847009071302665,0.017093011878296545,0.034967619841554706
XLOC_000039,223.7372346164802,0.4386211709388903,0.07612860533838994,5.761581589328072,8.332936445041872e-9,4.262058017152339e-8
XLOC_000040,7.510847457121968,-0.2354782870784909,0.28378795903020554,-0.8297684224630097,0.406669727622641,0.5424426939159515
XLOC_000041,816.2260213419534,-0.4044989708770977,0.05134599517990479,-7.8779069226299825,3.3291055305187626e-15,3.07945673940278e-14
XLOC_000042,0.4337314341330454,1.0864157557660064,0.5867421587332605,1.8516067741092779,0.06408230959667958,0.11327751992562
XLOC_000043,706.1096581184352,-1.0268319776861148,0.11799124153045733,-8.70261185802555,3.2433169475878712e-18,3.908785985818908e-17
